bag,gaps,total_skip
A_Jackal_AHG_Library_Thu_Oct_28_1,,0
A_Jackal_AHG_Library_Thu_Oct_28_2,,0
A_Jackal_AHG_Library_Thu_Oct_28_7,,0
A_Jackal_Brackenridge_Greg_Sat_Nov_13_94,,0
A_Jackal_Fountain_Library_Fri_Oct_29_9,"(1632,1818)",185
A_Jackal_Fountain_Mccombs_Thu_Oct_28_6,"(246,294)",47
A_Jackal_GDC_GDC_Fri_Oct_29_11,,0
A_Jackal_GDC_SAC_Fri_Oct_29_13,,0
A_Jackal_Greg_GDC_Sat_Nov_13_95,,0
A_Jackal_Library_AHG_Fri_Oct_29_8,,0
A_Jackal_Library_AHG_Thu_Oct_28_3,,0
A_Jackal_Library_AHG_Thu_Oct_28_4,,0
A_Jackal_Library_Fountain_Fri_Oct_29_10,,0
A_Jackal_Library_Fountain_Thu_Oct_28_5,,0
A_Jackal_REC_Abandon_Sat_Nov_13_92,,0
A_Jackal_SAC_GDC_Fri_Oct_29_14,,0
A_Jackal_SAC_SACindoor_Fri_Oct_29_15,,0
A_Jackal_Sanjac_Rec_Sat_Nov_13_91,"(888,978) (2850,2934)",172
A_Jackal_Speedway_Speedway_Fri_Oct_29_12,,0
A_Spot_AHG_AHG_Mon_Nov_8_27,"(2760,2778) (2856,2868) (2946,2982) (3156,3174) (3450,3468) (3606,3624) (5436,5454) (5508,5526) (6744,6804) (7986,8022) (9054,9084) (9084,9114) (9120,9162) (16854,16944)",430
A_Spot_AHG_Cola_Sat_Nov_13_96,,0
A_Spot_AHG_GDC_Tue_Nov_9_41,"(3726,3828) (4656,4746) (4830,4854) (4854,4962) (6570,6792) (6828,6918) (7038,7272) (7320,7458) (7542,7584) (7644,7848) (8220,8262)",1285
A_Spot_AHG_Library_Fri_Nov_12_81,,0
A_Spot_AHG_Library_Fri_Nov_5_21,"(1866,1896) (5712,5724)",40
A_Spot_AHG_Library_Mon_Nov_8_24,,0
A_Spot_AHG_Library_Wed_Nov_10_46,"(10134,10230)",95
A_Spot_Ahg_EERC_Thu_Nov_11_79 (1),"(444,492) (1584,1620) (1620,1644) (1644,1668) (1668,1686) (1698,1722) (3666,3768) (4638,4686) (4698,4782) (4860,4884) (4890,4908) (4980,5010) (5010,5022) (5046,5058) (5088,5100) (5352,5418) (5766,5790)",589
A_Spot_Ahg_EERC_Thu_Nov_11_79,"(3750,3768) (4752,4788)",52
A_Spot_Ahg_Library_Wed_Nov_10_56,"(4854,4890) (6018,6042) (10614,10668) (10830,10878)",158
A_Spot_Ballstructure_UTTower_Wed_Nov_10_60,,0
A_Spot_Bass_Rec_Fri_Nov_26_126,"(606,630) (1230,1422) (2640,2664) (4332,4392) (4500,4542) (4608,4662) (7350,7386) (7488,7764) (8148,8214) (8250,8502) (8796,8814) (8886,8976) (9222,9420) (9600,9654) (9726,9810) (10320,10404) (10512,10560) (11418,11970) (12804,12900) (12918,12960) (13746,13962)",2487
A_Spot_Bass_Rec_Fri_Nov_26_128,,0
A_Spot_Boatbuilding_AHG_Thu_Nov_4_23,,0
A_Spot_Butler_Foodtruck_Fri_Nov_26_132-004,"(4152,4188) (5172,5190) (5190,5226) (6198,6270) (6378,6486) (6486,6822) (6912,6960) (6996,7086)",736
A_Spot_Butler_Foodtruck_Fri_Nov_26_132,"(3912,4230) (4908,5412) (6168,6864) (6918,6972) (7002,7056)",1621
A_Spot_Butler_LBJ_Sat_Nov_13_104,"(498,510)",11
A_Spot_Dobie_Dobie_Thu_Nov_11_73,,0
A_Spot_Dobie_Fountain_Fri_Nov_12_84,,0
A_Spot_Dobie_Littlefield_Wed_Nov_10_58,,0
A_Spot_EERC_Ahg_Thu_Nov_11_80,,0
A_Spot_EER_AHG_Mon_Nov_8_32,,0
A_Spot_EER_AHG_Tue_Nov_9_40,"(954,984) (1320,1362) (2496,2532)",105
A_Spot_EER_OsCafe_Tue_Nov_9_39,"(6,198) (408,498) (624,744) (1182,1272) (1482,1572) (2874,3030)",732
A_Spot_Fountain_Dobie_Fri_Nov_12_83,,0
A_Spot_Fountain_Library_Fri_Nov_12_85,,0
A_Spot_Fountain_Library_Mon_Nov_8_26,,0
A_Spot_GDC_AHG_Thu_Nov_18_124,,0
A_Spot_GDC_Jester_Thu_Nov_18_121,,0
A_Spot_GeorgeWashington_Mccombs_Wed_Nov_10_59,,0
A_Spot_JCL_JCL_Wed_Nov_10_65,,0
A_Spot_JCL_JCL_Wed_Nov_10_66,"(246,270)",23
A_Spot_Jester_Jester_Wed_Nov_10_63,"(1824,1884) (2178,2370) (3864,3900)",285
A_Spot_Jester_Jester_Wed_Nov_10_64,,0
A_Spot_LBJ_Stadium_Sat_Nov_13_105,"(2460,2556) (4440,4470) (4470,4482) (4614,4674) (5850,5874) (5922,5952) (7308,7434) (7554,7620) (7620,7704) (7746,7806) (7818,7848) (7920,7950) (7950,7980) (8028,8178) (8484,8550) (8568,8598) (8904,8988) (10656,10692)",1026
A_Spot_Lbj_Thompson_Sat_Nov_13_99,"(2208,2232) (3240,3276) (3432,3468) (3558,3594) (4182,4212)",157
A_Spot_Library_AHG_Fri_Nov_12_86 (1),,0
A_Spot_Library_AHG_Fri_Nov_12_86,,0
A_Spot_Library_AHG_Mon_Nov_8_28,,0
A_Spot_Library_AHG_Mon_Nov_8_33,,0
A_Spot_Library_AHG_Thu_Nov_4_22,"(444,468)",23
A_Spot_Library_AHG_Tue_Nov_9_43,,0
A_Spot_Library_Dobie_Wed_Nov_10_57,"(2760,2844) (4710,4848) (6642,6684)",261
A_Spot_Library_Fountain_Fri_Nov_12_82,,0
A_Spot_Library_Fountain_Mon_Nov_8_25,,0
A_Spot_Library_Fountain_Mon_Nov_8_30,"(2382,2436) (3480,3552)",124
A_Spot_Library_Fountain_Tue_Nov_9_35,,0
A_Spot_Library_MLK_Thu_Nov_18_122,"(168,204) (570,780) (2154,2184)",273
A_Spot_Library_MLK_Thu_Nov_18_123,"(2370,2406) (3102,3150)",82
A_Spot_NHB_Ahg_Wed_Nov_10_55,"(174,300) (372,390)",142
A_Spot_NHB_Jester_Wed_Nov_10_62,"(2562,2652) (12726,12816) (13056,13104)",225
A_Spot_Parlin_Parlin_Wed_Nov_10_51,"(210,246) (444,684) (786,960) (972,1398) (1656,1746) (1806,1830)",984
A_Spot_SAC_GeorgeWashStatue_Wed_Nov_10_50,"(3048,3060) (3072,3246) (4260,4512) (7710,7722) (8298,8334) (9624,9636) (9642,9654) (9660,9684)",526
A_Spot_Security_NHB_Wed_Nov_10_54,"(864,882)",17
A_Spot_Stadium_PerformingArtsCenter_Sat_Nov_13_106,"(1338,1368) (2424,2466) (2544,2670) (5280,5436) (6036,6198)",511
A_Spot_Thompson_Butler_Sat_Nov_13_103,,0
A_Spot_UTTower_Union_Wed_Nov_10_61,,0
A_Spot_Union_Library_Tue_Nov_9_37,"(4266,4308) (6684,6774) (6774,6786)",141
A_Spot_Union_Union_Wed_Nov_10_53,,0
A_Spot_Union_Union_Wed_Nov_10_67,,0
A_Spot_Welch_Union_Thu_Nov_11_71,"(7332,7770)",437
B_Jackal_GDC_Library_Sat_Nov_13_87,,0
B_Jackal_Library_Sanjac_Sat_Nov_13_88,,0
B_Jackal_REC_Footballfield_Sat_Nov_13_93,,0
B_Jackal_Sanjac_Stadium_Sat_Nov_13_89,,0
B_Jackal_Stadium_Sanjac_Sat_Nov_13_90,,0
B_Spot_AHG_Library_Mon_Nov_15_107,,0
B_Spot_AHG_Library_Tue_Nov_9_34,,0
B_Spot_AHG_Union_Mon_Nov_15_111,,0
B_Spot_Ahg_Library_Thu_Nov_11_68,,0
B_Spot_Cola_Cola_Sat_Nov_13_97,"(126,138)",11
B_Spot_Dobie_Library_Thu_Nov_11_74,"(1350,1380)",29
B_Spot_Fountain_Library_Mon_Nov_8_31,,0
B_Spot_Fountain_Union_Tue_Nov_9_36,"(330,378) (462,600)",184
B_Spot_GDC_AHG_Mon_Nov_15_116,,0
B_Spot_GDC_Library_Tue_Nov_9_42,"(978,1260) (1476,1596) (1788,1944) (2112,2262)",704
B_Spot_Greg_Ahg_Thu_Nov_11_78,,0
B_Spot_Hogg_GDC_Mon_Nov_15_115,"(1122,1170) (2640,2676) (7242,7314) (7446,7728) (8712,8796)",517
B_Spot_JCL_JCL_Mon_Nov_15_108,"(666,720) (13752,13944) (14046,14262)",459
B_Spot_JCL_JCL_Thu_Nov_11_76,,0
B_Spot_LBJ_Thompson_Sat_Nov_13_101,,0
B_Spot_Library_EER_Tue_Nov_9_38,,0
B_Spot_Library_Greg_Thu_Nov_11_77,,0
B_Spot_Library_Jester_Thu_Nov_11_75,,0
B_Spot_Library_MCCombs_Wed_Nov_10_47,,0
B_Spot_Library_SAC_Thu_Nov_11_69,,0
B_Spot_Library_WagnerHall_Mon_Nov_8_29,,0
B_Spot_NHB_Union_Mon_Nov_15_114,,0
B_Spot_Parlin_NHB_Wed_Nov_10_52,"(264,300) (312,324) (426,438) (1290,1314) (2178,2214) (2214,2232) (5430,5454) (5454,5490) (12528,12552)",213
B_Spot_RLM_OsCafe_Mon_Nov_15_117,"(2328,2436) (3072,3102) (3138,3156) (3282,3390)",260
B_Spot_RLM_RLM_Wed_Nov_10_44,,0
B_Spot_RLM_RLM_Wed_Nov_10_45,"(276,324) (324,354) (534,636) (1596,1698)",278
B_Spot_SAC_AHG_Mon_Nov_15_110,,0
B_Spot_SAC_NHB_Mon_Nov_15_113,"(5712,5742)",29
B_Spot_SAC_SAC_Mon_Nov_15_109,"(456,480) (702,726) (2430,2478) (2478,2490) (2892,2928) (3882,3930) (4314,4356)",227
B_Spot_SAC_SAC_Wed_Nov_10_49,,0
B_Spot_Speedway_SAC_Wed_Nov_10_48,,0
B_Spot_Thompson_Thompson_Sat_Nov_13_100,,0
B_Spot_Thompson_Thompson_Sat_Nov_13_102,,0
