bag,total_preferences,top_not_three,top_0,top_1,top_2,top_3
A_Jackal_AHG_Library_Thu_Oct_28_1,1740,1178,616,11,551,562
A_Jackal_AHG_Library_Thu_Oct_28_2,1338,1131,1056,37,38,207
A_Jackal_AHG_Library_Thu_Oct_28_7,1529,1487,1423,14,50,42
A_Jackal_Brackenridge_Greg_Sat_Nov_13_94,516,403,376,6,21,113
A_Jackal_Fountain_Library_Fri_Oct_29_9,673,557,530,19,8,116
A_Jackal_Fountain_Mccombs_Thu_Oct_28_6,246,201,184,10,7,45
A_Jackal_GDC_GDC_Fri_Oct_29_11,44,4,2,0,2,40
A_Jackal_GDC_SAC_Fri_Oct_29_13,143,112,99,8,5,31
A_Jackal_Greg_GDC_Sat_Nov_13_95,291,205,179,12,14,86
A_Jackal_Library_AHG_Fri_Oct_29_8,1401,1392,1374,10,8,9
A_Jackal_Library_AHG_Thu_Oct_28_3,1357,1120,1047,33,40,237
A_Jackal_Library_AHG_Thu_Oct_28_4,1541,1532,1528,2,2,9
A_Jackal_Library_Fountain_Thu_Oct_28_5,505,420,300,55,65,85
A_Jackal_REC_Abandon_Sat_Nov_13_92,102,83,66,7,10,19
A_Jackal_SAC_GDC_Fri_Oct_29_14,77,71,57,3,11,6
A_Jackal_SAC_SACindoor_Fri_Oct_29_15,44,30,25,4,1,14
A_Jackal_Sanjac_Rec_Sat_Nov_13_91,0,0,0,0,0,0
A_Spot_AHG_Cola_Sat_Nov_13_96,1519,1482,1447,32,3,37
A_Spot_AHG_GDC_Tue_Nov_9_41,1040,893,820,42,31,147
A_Spot_Ahg_EERC_Thu_Nov_11_79,965,762,682,47,33,203
A_Spot_Bass_Rec_Fri_Nov_26_126,2081,1165,151,585,429,916
A_Spot_Butler_Foodtruck_Fri_Nov_26_132,887,181,23,121,37,706
A_Spot_Butler_LBJ_Sat_Nov_13_104,560,408,128,236,44,152
A_Spot_Dobie_Dobie_Thu_Nov_11_73,320,186,53,99,34,134
A_Spot_Dobie_Fountain_Fri_Nov_12_84,497,308,46,225,37,189
A_Spot_Dobie_Littlefield_Wed_Nov_10_58,347,244,19,224,1,103
A_Spot_EER_AHG_Mon_Nov_8_32,928,332,92,143,97,596
A_Spot_EER_AHG_Tue_Nov_9_40,621,279,110,107,62,342
A_Spot_Fountain_Dobie_Fri_Nov_12_83,518,482,470,11,1,36
A_Spot_JCL_JCL_Wed_Nov_10_66,182,144,127,10,7,38
A_Spot_Jester_Jester_Wed_Nov_10_63,367,338,313,7,18,29
A_Spot_Library_AHG_Fri_Nov_12_86,1937,424,112,230,82,1513
A_Spot_Library_AHG_Mon_Nov_8_28,1615,493,273,169,51,1122
A_Spot_Library_AHG_Mon_Nov_8_33,2140,1429,411,378,640,711
A_Spot_Library_AHG_Thu_Nov_4_22,2008,1057,366,261,430,951
A_Spot_Library_AHG_Tue_Nov_9_43,1722,984,330,428,226,738
A_Spot_Library_Fountain_Fri_Nov_12_82,762,504,50,390,64,258
A_Spot_Security_NHB_Wed_Nov_10_54,416,332,261,35,36,84
A_Spot_Thompson_Butler_Sat_Nov_13_103,209,146,136,6,4,63
A_Spot_UTTower_Union_Wed_Nov_10_61,585,182,130,32,20,403
A_Spot_Union_Library_Tue_Nov_9_37,2068,468,225,111,132,1600
A_Spot_Union_Union_Wed_Nov_10_53,445,167,95,45,27,278
A_Spot_Union_Union_Wed_Nov_10_67,0,0,0,0,0,0
B_Jackal_GDC_Library_Sat_Nov_13_87,792,262,62,72,128,530
B_Jackal_Library_Sanjac_Sat_Nov_13_88,924,420,107,88,225,504
B_Jackal_REC_Footballfield_Sat_Nov_13_93,467,189,58,30,101,278
B_Jackal_Sanjac_Stadium_Sat_Nov_13_89,535,246,68,86,92,289
B_Jackal_Stadium_Sanjac_Sat_Nov_13_90,462,252,70,93,89,210
B_Spot_AHG_Library_Mon_Nov_15_107,1742,169,93,55,21,1573
B_Spot_AHG_Library_Tue_Nov_9_34,1747,309,97,112,100,1438
B_Spot_AHG_Union_Mon_Nov_15_111,1505,327,266,43,18,1178
B_Spot_Ahg_Library_Thu_Nov_11_68,1789,295,250,32,13,1494
B_Spot_Cola_Cola_Sat_Nov_13_97,99,38,33,0,5,61
B_Spot_Dobie_Library_Thu_Nov_11_74,1428,378,241,73,64,1050
B_Spot_Fountain_Library_Mon_Nov_8_31,670,141,74,35,32,529
B_Spot_Fountain_Union_Tue_Nov_9_36,1219,271,188,36,47,948
B_Spot_GDC_AHG_Mon_Nov_15_116,466,33,23,1,9,433
B_Spot_GDC_Library_Tue_Nov_9_42,1581,404,335,38,31,1177
B_Spot_Greg_Ahg_Thu_Nov_11_78,1543,219,175,26,18,1324
B_Spot_Hogg_GDC_Mon_Nov_15_115,1476,341,206,60,75,1135
B_Spot_LBJ_Thompson_Sat_Nov_13_101,702,263,127,82,54,439
B_Spot_Library_EER_Tue_Nov_9_38,2450,810,537,169,104,1640
B_Spot_Library_Greg_Thu_Nov_11_77,368,139,59,39,41,229
B_Spot_Library_Jester_Thu_Nov_11_75,442,199,136,16,47,243
B_Spot_Library_MCCombs_Wed_Nov_10_47,677,288,188,60,40,389
B_Spot_Library_SAC_Thu_Nov_11_69,1308,605,475,53,77,703
B_Spot_Library_WagnerHall_Mon_Nov_8_29,871,371,289,55,27,500
B_Spot_NHB_Union_Mon_Nov_15_114,1561,530,290,115,125,1031
B_Spot_Parlin_NHB_Wed_Nov_10_52,46,25,12,1,12,21
B_Spot_RLM_OsCafe_Mon_Nov_15_117,582,214,123,48,43,368
B_Spot_RLM_RLM_Wed_Nov_10_44,80,34,31,0,3,46
B_Spot_RLM_RLM_Wed_Nov_10_45,247,100,47,29,24,147
B_Spot_SAC_SAC_Mon_Nov_15_109,751,514,140,250,124,237
B_Spot_Thompson_Thompson_Sat_Nov_13_102 (1),220,44,30,10,4,176
B_Spot_Thompson_Thompson_Sat_Nov_13_102,220,35,21,7,7,185
B_Spot_Union_Dobie_Thu_Nov_11_72,1928,429,151,214,64,1499
B_Spot_Union_SAC_Mon_Nov_15_112,1715,836,68,710,58,879
C_Spot_SanJac_Bass_Fri_Nov_26_125,1273,549,77,440,32,724
C_Spot_Tent_AHG_Fri_Nov_26_130,1589,539,51,431,57,1050
